State,Animal fats,"Bakery goods, cereals, and pasta",Beef and beef products,Beer,Chocolate and cocoa products,Coarse grains (ex. corn),Condiments and sauces,Confectionery,Corn,Cotton,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Distillers grains,Dog and cat food,Eggs and products,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit,Fresh vegetables,Fruit and vegetable juices,Hay,Hides and skins,Live animals,Meat products NESOI,Milled grains and products,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseeds (ex. soybean),"Other feeds, meals, and fodders",Planting seeds,Pork and pork products,Poultry meat and products (ex. eggs),Processed fruit,Processed vegetables,Pulses,Rice,Soybean meal,Soybean oil,Soybeans,"Sugar, sweeteners, bev. bases",Tobacco,Tree nuts,Vegetable oils (ex. soybean),Wheat,Wine and related products
AK,0.0,0.01,0.04,0.35,0.0,0.0,0.05,0.02,0.0,0.27,0.14,0.0,0.0,0.03,0.0,0.0,0.41,0.0,0.07,0.19,0.0,0.04,0.0,0.0,0.05,0.65,0.0,0.18,0.0,0.0,3.02,0.0,0.14,0.21,0.01,0.06,0.0,0.04,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.13
AL,0.4,0.18,6.87,0.0,0.78,0.0,0.68,0.35,0.05,18.9,1.42,0.24,0.0,0.0,7.27,16.91,2.05,0.0,1.29,0.0,0.05,0.33,0.43,0.0,63.65,0.99,0.0,0.95,0.01,0.0,4.64,0.25,0.84,140.96,0.0,0.09,0.0,0.0,0.0,4.89,318.97,9.46,0.0,0.16,2.0,0.0,0.0
AR,0.96,7.53,7.65,0.0,0.01,0.0,1.34,27.66,0.0,128.31,1.67,1.52,21.78,0.01,16.13,95.56,0.41,0.05,27.64,0.01,0.86,27.69,0.0,0.05,2.2,7.98,3.46,27.89,0.0,0.0,29.85,0.48,3.81,187.36,0.03,0.84,0.05,147.45,0.01,0.0,3.65,27.68,0.0,0.06,1.39,0.0,0.16
AZ,3.92,4.64,119.14,0.01,3.98,0.06,2.41,34.02,0.0,80.9,105.34,9.65,0.01,0.31,3.8,0.18,0.14,0.04,35.42,33.83,270.93,91.27,33.66,12.66,4.79,2.38,0.22,96.16,3.84,0.0,35.57,25.29,2.42,1.57,30.83,5.63,1.0,0.44,0.21,0.24,0.0,34.02,0.06,15.08,9.5,21.95,0.11
CA,13.48,259.95,610.46,33.03,118.59,0.59,242.39,741.03,5.85,337.35,1328.21,90.01,24.31,0.66,139.59,12.92,132.53,0.73,863.95,1305.22,677.76,853.13,362.84,31.36,43.64,74.27,39.34,915.61,77.02,117.09,497.34,445.14,129.41,178.81,375.15,322.99,19.22,314.61,13.32,8.76,58.29,725.55,0.03,4737.49,125.82,0.19,618.1
CO,3.36,11.45,824.75,3.09,6.09,0.0,0.79,13.74,5.95,0.0,34.42,1.25,0.31,0.03,9.23,0.0,2.18,0.0,12.76,0.03,3.78,14.17,0.0,48.69,3.42,18.2,3.18,16.02,0.74,6.85,28.2,17.52,144.81,26.41,0.9,0.97,3.35,0.15,0.0,0.49,0.05,13.14,0.0,1.2,4.91,9.45,0.15
CT,0.01,13.59,0.01,0.11,1.2,0.0,3.4,38.66,0.0,0.0,7.62,2.85,3.42,0.0,15.45,1.83,2.47,3.24,36.62,0.02,1.96,37.08,0.0,0.0,1.47,0.0,0.02,37.75,0.33,0.22,0.29,0.26,0.12,0.27,0.37,3.35,0.2,0.0,0.0,0.04,0.0,37.21,22.19,0.22,2.93,0.0,1.84
DC,0.0,0.02,0.08,0.02,0.05,0.0,0.0,0.03,0.0,0.0,0.1,0.0,0.09,0.01,0.0,0.0,0.0,0.09,0.03,0.0,0.0,0.04,0.0,0.0,0.01,0.06,0.0,0.03,0.01,0.0,0.0,0.0,0.04,0.06,0.32,0.01,0.0,0.0,0.0,0.0,3.11,0.02,0.0,0.0,0.05,0.0,0.03
DE,0.13,2.07,1.22,0.0,4.21,0.0,0.56,7.92,0.0,0.0,1.79,2.1,0.29,0.0,0.0,1.12,0.0,0.0,8.11,70.44,0.52,12.65,0.0,0.0,0.15,1.94,0.09,8.03,0.02,0.03,3.63,0.17,1.17,43.72,0.55,1.46,0.05,0.0,0.0,0.02,0.04,7.99,0.0,0.77,0.39,0.0,9.88
FL,0.88,100.94,180.02,16.69,43.19,0.38,84.07,198.08,2.13,2.56,324.74,19.98,145.9,0.0,21.8,17.23,140.73,2.11,188.47,210.54,176.55,277.05,0.22,4.67,28.56,44.18,11.43,315.8,45.56,7.38,39.83,54.59,97.43,166.44,62.32,48.12,6.3,12.12,0.1,21.98,0.57,201.06,10.15,34.26,74.15,0.49,16.32
GA,0.75,45.73,31.21,62.65,28.81,0.01,38.95,86.05,0.06,431.92,53.65,1.76,1.28,79.88,16.96,65.14,19.8,0.12,85.41,2.64,15.65,80.92,0.86,6.74,21.72,8.15,0.78,101.79,1.31,21.93,118.46,2.27,27.32,683.58,4.27,30.28,0.41,0.88,16.46,11.36,1.22,81.92,0.22,19.92,107.06,0.0,0.48
HI,0.0,5.87,0.65,0.08,2.9,0.0,0.03,0.17,0.0,0.0,0.39,0.0,0.03,0.0,0.0,0.0,0.51,0.01,0.16,3.46,0.2,1.65,0.0,0.0,0.07,0.0,0.0,9.74,0.05,0.0,0.34,0.02,0.0,0.0,0.64,0.21,0.0,0.0,0.0,0.01,0.0,0.2,0.0,9.76,0.07,0.0,0.09
IA,30.93,37.36,293.69,0.69,3.52,0.15,19.69,26.56,757.25,0.13,13.65,25.84,21.36,179.8,48.04,22.01,3.98,127.5,16.7,0.27,0.2,14.82,0.01,2.02,11.0,35.12,12.77,15.52,0.02,9.6,162.97,66.93,694.35,36.41,0.34,1.33,0.05,0.13,223.39,27.45,221.18,163.11,0.0,4.03,40.03,0.0,0.0
ID,4.12,21.98,1.34,0.0,0.45,0.12,10.97,12.22,0.0,0.0,150.94,16.69,0.01,0.06,0.01,0.38,0.79,0.0,13.17,1.64,9.93,11.71,5.81,4.57,37.11,0.02,34.55,12.88,0.16,7.19,8.07,87.77,1.16,0.0,10.3,68.86,30.52,0.0,0.12,0.71,0.02,11.92,0.0,0.03,0.98,8.07,0.09
IL,2.18,169.19,245.62,14.82,150.74,47.35,72.91,192.15,576.13,3.99,152.58,212.41,66.68,533.04,28.1,7.3,96.22,204.94,169.4,6.08,7.96,184.81,0.13,17.31,1.63,60.99,78.99,188.32,0.58,2.45,174.12,122.71,355.43,25.9,8.86,45.61,1.15,1.26,61.68,29.91,478.76,244.36,0.08,5.58,95.51,32.82,16.21
IN,2.41,45.88,2.31,0.1,15.44,0.0,17.79,47.98,22.25,0.08,82.5,117.46,75.31,38.88,41.35,3.51,4.47,33.17,42.55,0.21,0.05,55.61,0.0,2.19,3.31,2.05,16.31,56.42,0.36,0.13,118.39,60.86,105.53,7.07,1.87,3.09,0.01,0.01,5.06,6.65,5.18,115.98,0.0,39.77,12.73,0.2,0.24
KS,56.38,13.83,1036.09,0.0,8.73,123.0,1.0,11.89,291.39,14.34,41.17,5.98,15.83,29.11,124.5,0.27,0.07,133.05,11.42,0.1,0.03,11.49,0.02,63.06,4.05,17.19,31.87,19.99,0.0,4.42,24.18,9.62,88.48,3.27,0.23,9.75,4.26,0.24,60.09,2.75,431.45,13.8,0.0,0.19,11.67,331.48,0.68
KY,1.57,34.79,0.87,0.02,1.2,0.01,2.71,22.18,3.83,0.0,4.13,1.04,223.02,5.23,7.0,0.61,18.59,0.64,21.35,0.0,0.02,22.52,0.67,4.7,124.44,0.63,1.11,24.18,0.13,0.06,34.81,3.79,18.81,8.99,4.32,0.18,0.14,0.0,25.15,4.48,0.03,27.84,11.5,1.05,6.97,2.31,0.27
LA,50.16,0.65,3.36,0.08,2.85,73.79,55.14,3.84,4895.41,16.58,0.66,0.61,52.23,258.11,0.0,0.03,1.06,59.86,4.17,0.0,0.43,4.26,0.0,51.04,0.81,0.02,0.15,37.03,0.02,0.0,109.0,0.38,1.62,144.42,5.44,3.97,0.36,357.73,1526.02,558.54,9606.28,11.09,0.11,0.0,134.5,567.65,1.44
MA,0.0,13.31,7.42,0.79,2.74,0.0,4.99,10.24,0.0,0.07,18.25,20.7,0.32,0.0,3.37,0.19,2.39,0.03,9.51,3.96,0.33,22.87,0.0,6.97,3.16,0.8,0.85,19.13,1.27,0.08,0.67,2.01,0.02,1.59,49.03,3.34,0.02,0.0,0.0,0.72,0.0,9.43,0.77,0.77,7.98,0.0,2.14
MD,0.0,6.95,12.51,0.45,0.34,0.0,25.15,13.41,1.16,0.0,19.94,48.49,1.8,0.04,1.44,1.6,24.32,0.02,13.64,1.09,5.1,15.12,0.0,0.02,2.61,2.26,0.17,15.52,0.12,2.33,13.06,19.03,1.79,39.37,1.28,6.72,0.09,0.84,5.93,3.31,61.83,15.22,0.01,0.18,1.24,0.54,0.02
